X,Y,ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT
18.3769322559599,-11.7380701750036,,160-27,EN160,0,41.95,41.95,LUANDO,MUACANHICA,Primary,BIE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
18.5332194987945,-12.1912899400816,,160-31,EN160,0,6.52,6.52,MUNHANGO,SAMAJIMO,Primary,BIE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
18.4218500199295,-12.550105968939,,160-32,EN160,0,79.23,79.23,SAMAJIMO,CANGOA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
18.5074786852087,-12.959511005809,,160-33,EN160,0,33.85,33.85,CANGOA,SACARIMBUA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
18.8104205696743,-13.2698670088749,,160-34,EN160,0,52.87,52.87,SACARIMBUA,TEMPUE,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
18.8395474398455,-13.5982063767539,,160-35,EN160,0,50,50,TEMPUE,CAMEIA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
18.9502299772356,-8.48423728313554,,170-01,EN170,0,30.94,30.94,CAMAXILO,CASSEMENE,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
18.9972510577234,-8.7920114650676,,170-02,EN170,0,56.67,56.67,CASSEMENE,CARIERIA,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.2580042935432,-9.0664437053689,,170-03,EN170,0,24.81,24.81,CARIERIA,LUBALO,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.2345633761229,-10.1880926681063,,170-07,EN170,0,33.72,33.72,CACOLO,CUCUMBI,Primary,LUNDA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.2135026285079,-11.3117979519951,,170-10,EN170,0,54.74,54.74,CARIATA,SALIMBA,Primary,LUNDA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.0690002384161,-11.5982361141952,,170-11,EN170,0,22.51,22.51,SALIMBA,CAMBUFA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.2373085457409,-12.2308626692874,,170-13,EN170,0,84.86,84.86,CANGUNGE,MUCONDA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.4017589420544,-13.0862698047613,,170-14,EN170,0,207.88,207.88,MUCONDA,CANGAMBA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.9150031463746,-13.9549389526999,,170-15,EN170,0,65.15,65.15,CANGAMBA,MUZAZA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
20.0038593834336,-14.3169950003361,,170-16,EN170,0,21.55,21.55,MUZAZA,CANGUMBE,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
20.1614176050409,-14.6740023770308,,170-17,EN170,0,69.38,69.38,CANGUMBE,LUANHICA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
22.2813633869869,-16.9097148498837,,180-16,EN180,0,166.59,166.59,RIVUNGO,LUIANA,Primary,CUANDO CUBANGO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
20.1802747300031,-11.3286717403338,,180-06,EN180,0,29.22,29.22,CHIMBILA,BUCACO,Primary,MOXICO,7.9,2,Paved,Good,801,Paved,
20.3077259855061,-12.1486761155062,,180-08,EN180,0,136.61,136.61,LUENA,LUCUSSE,Primary,MOXICO,7.9,2,Paved,Good,645,Paved,
20.7256937956339,-12.7334562609971,,180-09,EN180,0,52.23,52.23,LUCUSSE,LUZI,Primary,MOXICO,7.9,2,Paved,Good,645,Paved,
21.1839590100681,-13.2507617237143,,180-10,EN180,0,98.65,98.65,LUZI,LUTEMBO,Primary,MOXICO,7.9,2,Paved,Good,645,Paved,
21.4341774371503,-13.8224217775692,,180-11,EN180,0,70.33,70.33,LUTEMBO,LUMBALA-NGUIMBO,Primary,MOXICO,7.9,2,Paved,Good,645,Paved,
21.2092620123504,-14.9985420140847,,180-13,EN180,0,42.81,42.81,NINDA,CHIUME,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
21.3693218532105,-15.4551392621523,,180-14,EN180,0,90.95,90.95,CHIUME,NERIQUINHA,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
21.7051414968192,-16.0795791594491,,180-15,EN180,0,86.96,86.96,NERIQUINHA,RIVUNGO,Primary,CUANDO CUBANGO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
22.7266251228181,-12.8445922617348,,190-07,EN190,0,47.19,47.19,LUMBALA,CARIPANDE,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
12.7412258517682,-4.57625958166708,,200-04,EN200,0,36.28,36.28,BELIZE,MICONJE,Primary,CABINDA,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
12.1228838099309,-5.58649185489387,,201-01,EN201,0,15.32,15.32,CABASSANGO,SUTAMBANDO,Primary,CABINDA,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
12.255493156028,-5.31399536817382,,202-02,EN202,0,19.47,19.47,SASSAZAU,PEDRO COTA,Primary,CABINDA,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
12.9004129432744,-7.16796138705362,,210-01,EN210,0,39.22,39.22,N'ZETO,CASA DA TELHA,Primary,ZAIRE,7.9,2,Paved,Good,415,Paved,
13.3965274773966,-6.80048000502779,,210-03,EN210,0,32.16,32.16,TOMBOCO,QUIXIMBA,Primary,ZAIRE,5.5,2,Unpaved,Poor,415,Track,
14.0499253203443,-6.37335950501079,,210-05,EN210,0,24.09,24.09,QUIANDE,MBANZA-CONGO,Primary,ZAIRE,5.5,2,Unpaved,Poor,415,Track,
14.2760170374874,-6.22760662193598,,210-06,EN210,0,30.73,30.73,MBANZA-CONGO,GOMBE,Primary,ZAIRE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
14.485301727159,-6.16671933258107,,210-07,EN210,0,23.18,23.18,GOMBE,CUIMBA,Primary,ZAIRE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
14.6172876804488,-6.05772290859472,,210-08,EN210,0,25.11,25.11,CUIMBA,LUVACA,Primary,ZAIRE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
15.8643536549134,-6.04494409745501,,210-15,EN210,0,30.74,30.74,SUNZA,SACANDICA,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
13.5190058008926,-7.5648227484212,,215-01,EN215,0,75.83,75.83,Ponte Freitas Morna,Quibala Norte,Primary,ZAIRE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
13.7398997524287,-7.29926102657256,,215-02,EN215,0,26.74,26.74,Quibala Norte,Quimaria,Primary,ZAIRE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
13.8660173567061,-7.2278484462386,,215-03,EN215,0,19.38,19.38,Quimaria,Mapata,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.178412788499,-7.19660652899433,,215-04,EN215,0,31.3,31.3,Mapata,Toto,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.2208134781503,-7.09729957795167,,215-05,EN215,0,15.52,15.52,Toto,Bembe,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.7004635133159,-6.76342098769088,,215-07,EN215,0,21.57,21.57,Lucunga,Chimacongo,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.1455870548265,-6.63560058758266,,215-09,EN215,0,32.03,32.03,Damba,Camatombo,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.3422713153179,-6.49878769540569,,215-10,EN215,0,52.96,52.96,Camatombo,Cuilo Futa,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
16.0259987091769,-6.53411480304577,,215-12,EN215,0,18.5,18.5,Quinsolo,Quimbele,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.0316772050741,-7.93713376708016,,220-02,EN220,0,57.21,57.21,Bela Vista,Nambuangongo,Primary,BENGO,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.4353639091582,-7.92949029314423,,220-05,EN220,0,23.17,23.17,Quixico,Quipedro,Primary,BENGO,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.5178006940134,-7.78412252551785,,220-06,EN220,0,36.53,36.53,Quipedro,S. JosÇ do Encoje,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.7158760720368,-7.3641690032481,,220-09,EN220,0,21.24,21.24,S. Esperanáa,Songo,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
14.6053618825911,-7.39987351085945,,220-08,EN220,0,12.52,12.52,Nova Caipemba,S. Esperanáa,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.2837509121024,-7.68629441843797,,220-12,EN220,0,52.81,52.81,Negage,Puri,Primary,UIGE,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day
15.7154320430409,-7.61349974038554,,220-13,EN220,0,27.38,27.38,Puri,AlfÉndega,Primary,UIGE,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day
14.2620982301218,-8.6010123717831,,225-03,EN225,0,38.65,38.65,Ucua,Piri,Primary,BENGO,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day
14.395507720687,-8.53088382705408,,225-04,EN225,0,9.51,9.51,Piri,Quibaxe,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,Assume half paved and half gravel
